




























































Time,Filepath,Rulepath,Level,Computername,Eventid,Alert,Details
2020-09-17 19:57:37.013 +09:00,..\test_files\remote_pwd_reset_rpc_mimikatz_postzerologon_target_DC,rules\alert-rules\hayabusa\Security\1102_T1070.001_SecurityLogCleared.yml,high,01566s-win16-ir.threebeesco.com,1102,Security log was cleared,User: a-jbrown
2020-09-17 19:57:44.254 +09:00,..\test_files\remote_pwd_reset_rpc_mimikatz_postzerologon_target_DC,rules\timeline-rules\Logons\4776-NTLM-Logon-to-Local-Account.yml,informational,01566s-win16-ir.threebeesco.com,4776,NTLM Logon to Local Account,User: Administrator  :  Workstation   :  Status: 0x0
2020-09-17 19:57:44.270 +09:00,..\test_files\remote_pwd_reset_rpc_mimikatz_postzerologon_target_DC,rules\timeline-rules\Logons\4624-Logon-Type-3-Network.yml,informational,01566s-win16-ir.threebeesco.com,4624,Logon Type 3 - Network,User: Administrator  :  Workstation: 02694W-WIN10  :  IP Address: 172.16.66.37  :  Port: %IpPort%  :  LogonID: 0x853237
2021-04-29 16:55:53.423 +09:00,..\test_files\asreproasting,rules\alert-rules\hayabusa\Security\1102_T1070.001_SecurityLogCleared.yml,high,DC-Server-1.labcorp.local,1102,Security log was cleared,User: Administrator
2021-04-29 16:56:26.433 +09:00,..\test_files\asreproasting,rules\timeline-rules\Logons\4769-Kerberos-Service-Ticket-Request.yml,informational,DC-Server-1.labcorp.local,4769,Kerberos Service Ticket Requested,User: Bob@LABCORP.LOCAL  :  Service: DC-SERVER-1$  :  IP Address: ::ffff:192.168.1.2  :  Status: 0x0
2021-04-29 16:56:26.435 +09:00,..\test_files\asreproasting,rules\timeline-rules\Logons\4672-Admin-Logon.yml,informational,DC-Server-1.labcorp.local,4672,Admin Logon,User: Bob  :  LogonID: 0xc66373
2021-04-29 16:56:26.436 +09:00,..\test_files\asreproasting,rules\timeline-rules\Logons\4624-Logon-Type-3-Network.yml,informational,DC-Server-1.labcorp.local,4624,Logon Type 3 - Network,User: Bob  :  Workstation:   :  IP Address: 192.168.1.2  :  Port: %IpPort%  :  LogonID: 0xc66373
2021-04-29 16:56:26.681 +09:00,..\test_files\asreproasting,rules\timeline-rules\Logons\4769-Kerberos-Service-Ticket-Request.yml,informational,DC-Server-1.labcorp.local,4769,Kerberos Service Ticket Requested,User: Bob@LABCORP.LOCAL  :  Service: DC-SERVER-1$  :  IP Address: ::ffff:192.168.1.2  :  Status: 0x0
2021-04-29 16:56:26.683 +09:00,..\test_files\asreproasting,rules\timeline-rules\Logons\4672-Admin-Logon.yml,informational,DC-Server-1.labcorp.local,4672,Admin Logon,User: Bob  :  LogonID: 0xc66389
2021-04-29 16:56:26.683 +09:00,..\test_files\asreproasting,rules\timeline-rules\Logons\4624-Logon-Type-3-Network.yml,informational,DC-Server-1.labcorp.local,4624,Logon Type 3 - Network,User: Bob  :  Workstation:   :  IP Address: 192.168.1.2  :  Port: %IpPort%  :  LogonID: 0xc66389
