Time,Computername,Eventid,Level,Alert,Details,Rulepath,Filepath
2016-09-20 01:50:06.477 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: JcDfcZTc WorkstationName: 6hgtmVlrrFuWtO65 IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 50249 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:06.513 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: gC4ymsKbxVGScMgY IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 59588 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:06.588 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: f2q1tdAUlxHGfGH6 IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 48343 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:06.637 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: 3EPNzcwy7tOAADWx IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 59567 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:06.680 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: AbwsMP10Rs4h1Wl1 IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 35465 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:06.725 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: EEcdqcpqsxQ4RgPx IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 35537 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:06.773 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: ngdtRwzXXhAlRxGY IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 58633 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:06.816 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: BbCFZw5qQgU7rQ9W IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 55198 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:06.869 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: SXr7lA3MkV6xK36f IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 56237 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:06.909 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: tVFs1kR0AuOutnuI IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 49174 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:06.977 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: PkeEabFrDLsBVcXi IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 57314 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.008 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: GH7dTevmTKZo46Tq IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 43228 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.052 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: l2E8JmrfaCj5AjSF IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 55670 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.091 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: N4FLUvawWPVqdLaD IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 49503 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.136 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: KN0EeUzxSZy5l7J4 IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 40023 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.169 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: l8FjH0QHqromIYWf IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 43904 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.217 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: fhlF37S1wNupiX5O IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 48221 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.262 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: j19XhmSXK526I8kf IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 49219 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.297 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: IRcppJXDNNfKuvdc IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 53170 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.343 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: E0FoGAIAK2FV3zCJ IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 53996 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.393 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: uYWIk76XIksgN3sE IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 56088 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.444 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: 3FEop7o3SOolNvKs IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 33458 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.484 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: cMGEM3ql9uov7zCP IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 42214 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.520 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: EFPUA4pUPaLrkr1I IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 48821 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.551 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: b7IeJU89jxitz407 IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 32781 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.590 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: Wqj9nXRaDpwCJZO3 IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 43719 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.631 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: bl0d61v2Ux7cNv4r IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 54940 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.663 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: 8LxTa5lyutrIB2cd IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 45361 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.684 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: LPCy11e3YxcCloSH IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 49741 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.720 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: Mj07WKc4aQqPC0Te IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 57861 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.752 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: T2M3v4TsQul5R4sj IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 49522 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.796 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: I67uBcH52tgLzhVB IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 44738 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.835 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: 2hsth68FDJ4F10H6 IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 39392 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.929 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: aDoHrfWlaWZ5GbWV IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 51709 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:07.972 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: uliC5Wd7uZR3fIBc IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 42097 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:08.000 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: Xhg4hg4XDFaXsJRe IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 47480 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:08.042 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: ZrSGxwUyV6gCUPeb IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 42548 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:08.179 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: XUBgTr05x3djEYdM IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 53232 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:08.219 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: 40PhGU4ZXu7uihop IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 50452 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:08.335 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: 1DJ9r72hXZH9rEkb IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 35597 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:08.397 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: khy2BeyBb9wq00f7 IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 53407 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
2016-09-20 01:50:08.462 +09:00,DESKTOP-M5SN04R,4625,-,Logon,Type: 3 TargetUserName: Administrator WorkstationName: 1cDckicL7IMrO7OQ IpAddress: 192.168.198.149 SubStatus: %SubStatus% IpPort: 57134 LogonID: -,rules\4625.yml,.\sample-evtx\DeepBlueCLI\smb-password-guessing-security
