Time,Computername,Eventid,Level,Alert,Details,Rulepath,Filepath
2019-02-14 00:15:04.175 +09:00,PC02.example.corp,4624,informational,Logon Type 0 - System,Bootup,rules\timeline-rules\Logons\4624-Logon-Type-0-System.yml,.\sample-evtx\EVTX-ATTACK-SAMPLES\Command and Control\DE_RDP_Tunneling_4624.evtx
2019-02-14 00:15:08.689 +09:00,PC02.example.corp,4624,informational,Logon Type 5 - Service,User: sshd_server  :  Workstation: PC02  :  IP Address: -  :  Port: -  :  LogonID: 0xe509,rules\timeline-rules\Logons\4624-Logon-Type-5-Service.yml,.\sample-evtx\EVTX-ATTACK-SAMPLES\Command and Control\DE_RDP_Tunneling_4624.evtx
2019-02-14 00:19:51.259 +09:00,PC02.example.corp,4624,high,,User: IEUser TargetDomainName: PC02 ProcessID: 0x198 ProcessName: C:\Windows\System32\winlogon.exe,rules\alert-rules\hayabusa\Security\4624.yml,.\sample-evtx\EVTX-ATTACK-SAMPLES\Command and Control\DE_RDP_Tunneling_4624.evtx
2019-02-14 00:19:51.259 +09:00,PC02.example.corp,4624,informational,Logon Type 2 - Interactive,User: IEUser  :  Workstation: PC02  :  IP Address: 127.0.0.1  :  Port: 0  :  LogonID: 0x21f73  :  (Warning: Credentials are stored in memory.),rules\timeline-rules\Logons\4624-Logon-Type-2-Interactive.yml,.\sample-evtx\EVTX-ATTACK-SAMPLES\Command and Control\DE_RDP_Tunneling_4624.evtx
2019-02-14 00:26:53.356 +09:00,PC02.example.corp,4624,high,,User: IEUser TargetDomainName: PC02 ProcessID: 0x658 ProcessName: C:\Windows\System32\winlogon.exe,rules\alert-rules\hayabusa\Security\4624.yml,.\sample-evtx\EVTX-ATTACK-SAMPLES\Command and Control\DE_RDP_Tunneling_4624.evtx
2019-02-14 00:26:53.356 +09:00,PC02.example.corp,4624,high,RDP Login from Localhost,,rules\alert-rules\sigma\win_rdp_localhost_login.yml,.\sample-evtx\EVTX-ATTACK-SAMPLES\Command and Control\DE_RDP_Tunneling_4624.evtx
2019-02-14 00:26:53.356 +09:00,PC02.example.corp,4624,informational,Logon Type 10 - RDP (Remote Interactive),User: IEUser  :  Workstation: PC02  :  IP Address: 127.0.0.1  :  Port: 49164  :  LogonID: 0x45120  :  (Warning: Credentials are stored in memory.),rules\timeline-rules\Logons\4624-Logon-Type-10-RemoteInteractive.yml,.\sample-evtx\EVTX-ATTACK-SAMPLES\Command and Control\DE_RDP_Tunneling_4624.evtx
2019-02-14 00:29:40.657 +09:00,PC02.example.corp,4624,high,,User: IEUser TargetDomainName: PC02 ProcessID: 0x994 ProcessName: C:\Windows\System32\winlogon.exe,rules\alert-rules\hayabusa\Security\4624.yml,.\sample-evtx\EVTX-ATTACK-SAMPLES\Command and Control\DE_RDP_Tunneling_4624.evtx
2019-02-14 00:29:40.657 +09:00,PC02.example.corp,4624,informational,Logon Type 2 - Interactive,User: IEUser  :  Workstation: PC02  :  IP Address: 127.0.0.1  :  Port: 0  :  LogonID: 0x4a26d  :  (Warning: Credentials are stored in memory.),rules\timeline-rules\Logons\4624-Logon-Type-2-Interactive.yml,.\sample-evtx\EVTX-ATTACK-SAMPLES\Command and Control\DE_RDP_Tunneling_4624.evtx
2019-02-14 00:31:19.529 +09:00,PC02.example.corp,4624,informational,Logon Type 3 - Network,User: ANONYMOUS LOGON  :  Workstation: PC01  :  IP Address: 10.0.2.17  :  Port: 49168  :  LogonID: 0x73d02,rules\timeline-rules\Logons\4624-Logon-Type-3-Network.yml,.\sample-evtx\EVTX-ATTACK-SAMPLES\Command and Control\DE_RDP_Tunneling_4624.evtx
2019-02-14 00:31:31.556 +09:00,PC02.example.corp,4624,informational,Logon Type 3 - Network,User: ANONYMOUS LOGON  :  Workstation: PC01  :  IP Address: 10.0.2.17  :  Port: 49169  :  LogonID: 0x7d4f4,rules\timeline-rules\Logons\4624-Logon-Type-3-Network.yml,.\sample-evtx\EVTX-ATTACK-SAMPLES\Command and Control\DE_RDP_Tunneling_4624.evtx
