eventid,event_title,detect_flg,comment
6406,%1 registered to Windows Firewall to control filtering for the following: %2 ,,
1,Process Creation. ,,
2,File Creation Timestamp Changed. (Possible Timestomping) ,,
3,Network Connection. ,,
4,Sysmon Service State Changed. ,,
5,Process Terminated. ,,
6,Driver Loaded. ,,
7,Image Loaded. ,,
8,Remote Thread Created. (Possible Code Injection) ,,
9,Raw Access Read. ,,
10,Process Access. ,,
11,File Creation or Overwrite. ,,
12,Registry Object Created/Deletion. ,,
13,Registry Value Set. ,,
14,Registry Key or Value Rename. ,,
15,Alternate Data Stream Created. ,,
16,Sysmon Service Configuration Changed. ,,
17,Named Pipe Created. ,,
18,Named Pipe Connection. ,,
19,WmiEventFilter Activity. ,,
20,WmiEventConsumer Activity. ,,
21,WmiEventConsumerToFilter Activity. ,,
22,DNS Query. ,,
23,Deleted File Archived. ,,
24,Clipboard Changed. ,,
25,Process Tampering. (Possible Process Hollowing or Herpaderping) ,,
26,File Deleted. ,,
27,KDC Encryption Type Configuration ,,
31,Windows Update Failed ,,
34,Windows Update Failed ,,
35,Windows Update Failed ,,
43,New Device Information ,,
81,Processing client request for operation CreateShell ,,
82,Entering the plugin for operation CreateShell with a ResourceURI ,,
104,Event Log was Cleared ,,
106,A task has been scheduled ,,
134,Sending response for operation CreateShell ,,
169,Creating WSMan Session (on Server) ,,
255,Sysmon Error. ,,
400,New Mass Storage Installation ,,
410,New Mass Storage Installation ,,
800,Summary of Software Activities ,,
903,New Application Installation ,,
904,New Application Installation ,,
905,Updated Application ,,
906,Updated Application ,,
907,Removed Application ,,
908,Removed Application ,,
1001,BSOD ,,
1005,Scan Failed ,,
1006,Detected Malware ,,
1008,Action on Malware Failed ,,
1009,Hotpatching Failed ,,
1010,Failed to remove item from quarantine ,,
1022,New MSI File Installed ,,
1033,New MSI File Installed ,,
1100,The event logging service has shut down ,,
1101,Audit events have been dropped by the transport. ,,
1102,The audit log was cleared ,,
1104,The security Log is now full ,,
1105,Event log automatic backup ,,
1108,The event logging service encountered an error  ,,
1125,Group Policy: Internal Error ,,
1127,Group Policy: Generic Internal Error ,,
1129,Group Policy: Group Policy Application Failed due to Connectivity ,,
1149,User authentication succeeded ,,
2001,Failed to update signatures ,,
2003,Failed to update engine ,,
2004,Firewall Rule Add ,,
2004,Reverting to last known good set of signatures ,,
2005,Firewall Rule Change ,,
2006,Firewall Rule Deleted ,,
2009,Firewall Failed to load Group Policy ,,
2033,Firewall Rule Deleted ,,
3001,Code Integrity Check Warning ,,
3002,Code Integrity Check Warning ,,
3002,Real-Time Protection failed ,,
3003,Code Integrity Check Warning ,,
3004,Code Integrity Check Warning ,,
3010,Code Integrity Check Warning ,,
3023,Code Integrity Check Warning ,,
4103,Module logging. Executing Pipeline. ,,
4104,Script Block Logging. ,,
4105,CommandStart - Started ,,
4106,CommandStart - Stoppeed ,,
4608,Windows is starting up ,,
4609,Windows is shutting down ,,
4610,An authentication package has been loaded by the Local Security Authority ,,
4611,A trusted logon process has been registered with the Local Security Authority ,,
4612,"Internal resources allocated for the queuing of audit messages have been exhausted, leading to the loss of some audits." ,,
4614,A notification package has been loaded by the Security Account Manager. ,,
4615,Invalid use of LPC port ,,
4616,The system time was changed. ,,
4618,A monitored security event pattern has occurred ,,
4621,Administrator recovered system from CrashOnAuditFail ,,
4622,A security package has been loaded by the Local Security Authority. ,,
4624,Logon Success ,,
4625,Logon Failure ,,
4627,Group Membership Information,,
4634,Account Logoff ,,
4646,IKE DoS-prevention mode started ,,
4647,User initiated logoff ,,
4648,Explicit Logon ,,
4649,A replay attack was detected ,,
4650,An IPsec Main Mode security association was established ,,
4651,An IPsec Main Mode security association was established ,,
4652,An IPsec Main Mode negotiation failed ,,
4653,An IPsec Main Mode negotiation failed ,,
4654,An IPsec Quick Mode negotiation failed ,,
4655,An IPsec Main Mode security association ended ,,
4656,A handle to an object was requested ,,
4657,A registry value was modified ,,
4658,The handle to an object was closed ,,
4659,A handle to an object was requested with intent to delete ,,
4660,An object was deleted ,,
4661,A handle to an object was requested ,,
4662,An operation was performed on an object ,,
4663,An attempt was made to access an object ,,
4664,An attempt was made to create a hard link ,,
4665,An attempt was made to create an application client context. ,,
4666,An application attempted an operation ,,
4667,An application client context was deleted ,,
4668,An application was initialized ,,
4670,Permissions on an object were changed ,,
4671,An application attempted to access a blocked ordinal through the TBS ,,
4672,Admin Logon ,,
4673,A privileged service was called ,,
4674,An operation was attempted on a privileged object ,,
4675,SIDs were filtered ,,
4685,The state of a transaction has changed ,,
4688,Process Creation. ,,
4689,A process has exited ,,
4690,An attempt was made to duplicate a handle to an object ,,
4691,Indirect access to an object was requested ,,
4692,Backup of data protection master key was attempted ,,
4693,Recovery of data protection master key was attempted ,,
4694,Protection of auditable protected data was attempted ,,
4695,Unprotection of auditable protected data was attempted ,,
4696,A primary token was assigned to process ,,
