Time,Computername,Eventid,Level,Alert,Details,Rulepath,Filepath
2021-05-03 17:58:25.921 +09:00,atanids01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:25.942 +09:00,atanids01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:25.949 +09:00,atanids01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:25.950 +09:00,atanids01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.674 +09:00,dhcp01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.677 +09:00,wsus01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.679 +09:00,exchange01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.685 +09:00,dhcp01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.686 +09:00,wsus01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.686 +09:00,dhcp01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.687 +09:00,wsus01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.687 +09:00,exchange01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.688 +09:00,exchange01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.689 +09:00,pki01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.689 +09:00,atacore01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.689 +09:00,wsus01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.690 +09:00,dhcp01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.691 +09:00,exchange01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.712 +09:00,atacore01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.713 +09:00,atacore01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
