Time,Computername,Eventid,Level,Alert,Details,Rulepath,Filepath
2016-09-21 01:34:04.272 +09:00,IE10Win7,104,high,System log file was cleared,"User: IEUser{""System"":{""Channel"":""System"",""Computer"":""IE10Win7"",""Correlation"":null,""EventID"":104,""EventRecordID"":8423,""Execution_attributes"":{""ProcessID"":728,""ThreadID"":2296},""Keywords"":""0x8000000000000000"",""Level"":4,""Opcode"":0,""Provider_attributes"":{""Guid"":""{fc65ddd8-d6ef-4962-83d5-6e5cfe9ce148}"",""Name"":""Microsoft-Windows-Eventlog""},""Security_attributes"":{""UserID"":""S-1-5-21-3463664321-2923530833-3546627382-1000""},""Task"":104,""TimeCreated_attributes"":{""SystemTime"":""2016-09-20T16:34:04.272460Z""},""Version"":0},""UserData"":{""LogFileCleared"":{""BackupPath"":"""",""Channel"":""System"",""SubjectDomainName"":""IE10WIN7"",""SubjectUserName"":""IEUser""},""LogFileCleared_attributes"":{""xmlns"":""http://manifests.microsoft.com/win/2004/08/windows/eventlog"",""xmlns:auto-ns3"":""http://schemas.microsoft.com/win/2004/08/events""}}}",.\rules\alert-rules\hayabusa\System\104_T1070.001_SystemLogCleared.yml,.\sample-evtx\DeepBlueCLI\metasploit-psexec-powershell-target-system.evtx
2016-09-21 12:40:41.865 +09:00,IE10Win7,104,high,System log file was cleared,"User: IEUser{""System"":{""Channel"":""System"",""Computer"":""IE10Win7"",""Correlation"":null,""EventID"":104,""EventRecordID"":8622,""Execution_attributes"":{""ProcessID"":824,""ThreadID"":2648},""Keywords"":""0x8000000000000000"",""Level"":4,""Opcode"":0,""Provider_attributes"":{""Guid"":""{fc65ddd8-d6ef-4962-83d5-6e5cfe9ce148}"",""Name"":""Microsoft-Windows-Eventlog""},""Security_attributes"":{""UserID"":""S-1-5-21-3463664321-2923530833-3546627382-1000""},""Task"":104,""TimeCreated_attributes"":{""SystemTime"":""2016-09-21T03:40:41.865234Z""},""Version"":0},""UserData"":{""LogFileCleared"":{""BackupPath"":"""",""Channel"":""System"",""SubjectDomainName"":""IE10WIN7"",""SubjectUserName"":""IEUser""},""LogFileCleared_attributes"":{""xmlns"":""http://manifests.microsoft.com/win/2004/08/windows/eventlog"",""xmlns:auto-ns3"":""http://schemas.microsoft.com/win/2004/08/events""}}}",.\rules\alert-rules\hayabusa\System\104_T1070.001_SystemLogCleared.yml,.\sample-evtx\DeepBlueCLI\metasploit-psexec-native-target-system.evtx
2019-03-20 08:34:25.894 +09:00,PC01.example.corp,104,high,System log file was cleared,"User: user01{""System"":{""Channel"":""System"",""Computer"":""PC01.example.corp"",""Correlation"":null,""EventID"":104,""EventRecordID"":27736,""Execution_attributes"":{""ProcessID"":812,""ThreadID"":3916},""Keywords"":""0x8000000000000000"",""Level"":4,""Opcode"":0,""Provider_attributes"":{""Guid"":""{fc65ddd8-d6ef-4962-83d5-6e5cfe9ce148}"",""Name"":""Microsoft-Windows-Eventlog""},""Security_attributes"":{""UserID"":""S-1-5-21-1587066498-1489273250-1035260531-1106""},""Task"":104,""TimeCreated_attributes"":{""SystemTime"":""2019-03-19T23:34:25.894341Z""},""Version"":0},""UserData"":{""LogFileCleared"":{""BackupPath"":"""",""Channel"":""System"",""SubjectDomainName"":""EXAMPLE"",""SubjectUserName"":""user01""},""LogFileCleared_attributes"":{""xmlns"":""http://manifests.microsoft.com/win/2004/08/windows/eventlog"",""xmlns:auto-ns3"":""http://schemas.microsoft.com/win/2004/08/events""}}}",.\rules\alert-rules\hayabusa\System\104_T1070.001_SystemLogCleared.yml,.\sample-evtx\EVTX-ATTACK-SAMPLES\Defense Evasion\DE_104_system_log_cleared.evtx
2019-04-28 06:04:25.733 +09:00,DESKTOP-JR78RLP,104,high,System log file was cleared,"User: jwrig{""System"":{""Channel"":""System"",""Computer"":""DESKTOP-JR78RLP"",""Correlation"":null,""EventID"":104,""EventRecordID"":9252,""Execution_attributes"":{""ProcessID"":7464,""ThreadID"":5848},""Keywords"":""0x8000000000000000"",""Level"":4,""Opcode"":0,""Provider_attributes"":{""Guid"":""{fc65ddd8-d6ef-4962-83d5-6e5cfe9ce148}"",""Name"":""Microsoft-Windows-Eventlog""},""Security_attributes"":{""UserID"":""S-1-5-21-979008924-657238111-836329461-1002""},""Task"":104,""TimeCreated_attributes"":{""SystemTime"":""2019-04-27T21:04:25.733401Z""},""Version"":0},""UserData"":{""LogFileCleared"":{""BackupPath"":"""",""Channel"":""System"",""SubjectDomainName"":""DESKTOP-JR78RLP"",""SubjectUserName"":""jwrig""},""LogFileCleared_attributes"":{""xmlns"":""http://manifests.microsoft.com/win/2004/08/windows/eventlog""}}}",.\rules\alert-rules\hayabusa\System\104_T1070.001_SystemLogCleared.yml,.\sample-evtx\DeepBlueCLI\disablestop-eventlog.evtx
2019-04-28 06:04:32.373 +09:00,DESKTOP-JR78RLP,7040,high,Windows Event Log service start type changed from auto start to disabled,Service: Windows Event Log,.\rules\alert-rules\hayabusa\System\7040.yml,.\sample-evtx\DeepBlueCLI\disablestop-eventlog.evtx
2019-04-28 06:04:51.373 +09:00,DESKTOP-JR78RLP,7040,high,Windows Event Log service start type changed from auto start to disabled,Service: Windows Event Log,.\rules\alert-rules\hayabusa\System\7040.yml,.\sample-evtx\DeepBlueCLI\disablestop-eventlog.evtx
2020-07-12 06:49:56.318 +09:00,fs02.offsec.lan,104,high,System log file was cleared,"User: admmig{""System"":{""Channel"":""System"",""Computer"":""fs02.offsec.lan"",""Correlation"":null,""EventID"":104,""EventRecordID"":9458,""Execution_attributes"":{""ProcessID"":676,""ThreadID"":2800},""Keywords"":""0x8000000000000000"",""Level"":4,""Opcode"":0,""Provider_attributes"":{""Guid"":""{fc65ddd8-d6ef-4962-83d5-6e5cfe9ce148}"",""Name"":""Microsoft-Windows-Eventlog""},""Security_attributes"":{""UserID"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},""Task"":104,""TimeCreated_attributes"":{""SystemTime"":""2020-07-11T21:49:56.318885Z""},""Version"":0},""UserData"":{""LogFileCleared"":{""BackupPath"":"""",""Channel"":""System"",""SubjectDomainName"":""OFFSEC"",""SubjectUserName"":""admmig""},""LogFileCleared_attributes"":{""xmlns"":""http://manifests.microsoft.com/win/2004/08/windows/eventlog""}}}",.\rules\alert-rules\hayabusa\System\104_T1070.001_SystemLogCleared.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0003-Persistence\T1543.003-Create or Modify System Process-Windows Service\ID7045-Random service installation.evtx
2020-09-16 04:28:31.453 +09:00,01566s-win16-ir.threebeesco.com,104,high,System log file was cleared,"User: a-jbrown{""System"":{""Channel"":""System"",""Computer"":""01566s-win16-ir.threebeesco.com"",""Correlation"":null,""EventID"":104,""EventRecordID"":63220,""Execution_attributes"":{""ProcessID"":264,""ThreadID"":644},""Keywords"":""0x8000000000000000"",""Level"":4,""Opcode"":0,""Provider_attributes"":{""Guid"":""{fc65ddd8-d6ef-4962-83d5-6e5cfe9ce148}"",""Name"":""Microsoft-Windows-Eventlog""},""Security_attributes"":{""UserID"":""S-1-5-21-308926384-506822093-3341789130-1106""},""Task"":104,""TimeCreated_attributes"":{""SystemTime"":""2020-09-15T19:28:31.453647Z""},""Version"":0},""UserData"":{""LogFileCleared"":{""BackupPath"":"""",""Channel"":""System"",""SubjectDomainName"":""3B"",""SubjectUserName"":""a-jbrown""},""LogFileCleared_attributes"":{""xmlns"":""http://manifests.microsoft.com/win/2004/08/windows/eventlog""}}}",.\rules\alert-rules\hayabusa\System\104_T1070.001_SystemLogCleared.yml,.\sample-evtx\EVTX-ATTACK-SAMPLES\Credential Access\Zerologon_CVE-2020-1472_DFIR_System_NetLogon_Error_EventID_5805.evtx
2021-04-21 18:27:51.181 +09:00,jump01.offsec.lan,104,high,System log file was cleared,"User: admmig{""System"":{""Channel"":""System"",""Computer"":""jump01.offsec.lan"",""Correlation"":null,""EventID"":104,""EventRecordID"":471479,""Execution_attributes"":{""ProcessID"":492,""ThreadID"":12164},""Keywords"":""0x8000000000000000"",""Level"":4,""Opcode"":0,""Provider_attributes"":{""Guid"":""{fc65ddd8-d6ef-4962-83d5-6e5cfe9ce148}"",""Name"":""Microsoft-Windows-Eventlog""},""Security_attributes"":{""UserID"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},""Task"":104,""TimeCreated_attributes"":{""SystemTime"":""2021-04-21T09:27:51.181798Z""},""Version"":0},""UserData"":{""LogFileCleared"":{""BackupPath"":"""",""Channel"":""System"",""SubjectDomainName"":""OFFSEC"",""SubjectUserName"":""admmig""},""LogFileCleared_attributes"":{""xmlns"":""http://manifests.microsoft.com/win/2004/08/windows/eventlog""}}}",.\rules\alert-rules\hayabusa\System\104_T1070.001_SystemLogCleared.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0003-Persistence\T1543.003-Create or Modify System Process-Windows Service\ID7045-7036 PSexec service installation.evtx
2021-10-26 03:04:30.334 +09:00,FS03.offsec.lan,104,high,System log file was cleared,"User: admmig{""System"":{""Channel"":""System"",""Computer"":""FS03.offsec.lan"",""Correlation"":null,""EventID"":104,""EventRecordID"":5073,""Execution_attributes"":{""ProcessID"":712,""ThreadID"":1912},""Keywords"":""0x8000000000000000"",""Level"":4,""Opcode"":0,""Provider_attributes"":{""Guid"":""{fc65ddd8-d6ef-4962-83d5-6e5cfe9ce148}"",""Name"":""Microsoft-Windows-Eventlog""},""Security_attributes"":{""UserID"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},""Task"":104,""TimeCreated_attributes"":{""SystemTime"":""2021-10-25T18:04:30.334471Z""},""Version"":0},""UserData"":{""LogFileCleared"":{""BackupPath"":"""",""Channel"":""System"",""SubjectDomainName"":""OFFSEC"",""SubjectUserName"":""admmig""},""LogFileCleared_attributes"":{""xmlns"":""http://manifests.microsoft.com/win/2004/08/windows/eventlog""}}}",.\rules\alert-rules\hayabusa\System\104_T1070.001_SystemLogCleared.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1070.001-Clear Windows event logs\ID104-1102-Event log cleared.evtx
